year,race_name,weather,Course_Type,laps,distance
2019,Singapore Grand Prix,3,Temporary street circuit,61,308.706
2019,Russian Grand Prix,2,Permanent racing facility,53,309.745
2019,Japanese Grand Prix,1,Permanent racing facility,52,301.664
2019,Mexican Grand Prix,2,Permanent racing facility,71,305.354
2019,United States Grand Prix,1,Permanent racing facility,56,308.405
2019,Brazilian Grand Prix,1,Permanent racing facility,71,305.879
2019,Abu Dhabi Grand Prix,1,Permanent racing facility,55,305.355
2020,Austrian Grand Prix,1,Permanent racing facility,71,306.452
2020,Styrian Grand Prix,1,Permanent racing facility,71,306.452
2020,Hungarian Grand Prix,3,Permanent racing facility,70,306.630
2020,British Grand Prix,2,Permanent racing facility,52,306.198
2020,70th Anniversary Grand Prix,1,Permanent racing facility,52,306.198
2020,Spanish Grand Prix,2,Permanent racing facility,66,307.104
2020,Belgian Grand Prix,2,Permanent racing facility,44,308.052
2020,Italian Grand Prix,1,Permanent racing facility,53,306.720
2020,Tuscan Grand Prix,1,Permanent racing facility,59,309.497
2020,Russian Grand Prix,1,Permanent racing facility,53,309.745
2020,Eifel Grand Prix,2,Permanent racing facility,60,308.617
2020,Portuguese Grand Prix,2,Permanent racing facility,66,306.826
2020,Emilia Romagna Grand Prix,2,Permanent racing facility,63,309.049
2020,Turkish Grand Prix,3,Permanent racing facility,58,309.396
2020,Bahrain Grand Prix,1,Permanent racing facility,57,308.238
2020,Sakhir Grand Prix,1,Permanent racing facility,87,307.995
2020,Abu Dhabi Grand Prix,1,Permanent racing facility,55,305.355
2021,Emilia Romagna Grand Prix,3,Permanent racing facility,63,309.049
2021,Bahrain Grand Prix,1,Permanent racing facility,56,302.826
2021,Qatar Grand Prix,1,Permanent racing facility,57,306.660
2021,Portuguese Grand Prix,2,Permanent racing facility,66,306.826
2021,Spanish Grand Prix,2,Permanent racing facility,66,308.424
2021,Monaco Grand Prix,1,Street circuit,78,260.286
2021,Azerbaijan Grand Prix,1,Street circuit,51,306.049
2021,Styrian Grand Prix,2,Permanent racing circuit,71,306.452
2021,French Grand Prix,3,Permanent racing circuit,53,309.690
2021,Austrian Grand Prix,2,Permanent racing facility,71,306.452
2021,British Grand Prix,1,Permanent racing facility,52,306.198
2021,Hungarian Grand Prix,3,Permanent racing facility,70,306.630
2021,Belgian Grand Prix,3,Permanent racing facility,1,
2021,Dutch Grand Prix,1,Permanent racing facility,72,306.587
2021,Italian Grand Prix,1,Permanent racing facility,53,306.72
2021,Russian Grand Prix,3,Permanent racing facility,53,309.745
2021,Turkish Grand Prix,3,Permanent racing facility,58,309.396
2021,United States Grand Prix,1,Permanent racing facility,56,308.405
2021,Mexico City Grand Prix,1,Permanent racing facility,71,305.354
2021,São Paulo Grand Prix,1,Permanent racing facility,71,305.879
2021,Saudi Arabian Grand Prix,1,Street Circuit,50,308.450
2021,Abu Dhabi Grand Prix,1,Permanent racing facility,58,306.183
